,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZO_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-03-17,9106,2173,2480,4836,4467,004603,OATS - CHICAGO BOARD OF TRADE,271.0,-0.04052273226444103,369,2.338330722756769,-307,0.21257552025061532,0.023755777706116307,0.012250161186331399,-0.061471861471861455,0.040590405904058935,,-0.0053243511508748375
2015-03-24,9251,2187,2340,4982,4818,004603,OATS - CHICAGO BOARD OF TRADE,282.0,-0.01772781320938277,164,-2.251262903580057,-153,1.6911926202503844,0.05071428571428571,0.034018113540976364,0.040590405904058935,-0.061170212765957466,,0.00795317109835383
2015-03-31,9466,2190,1813,4435,4904,004603,OATS - CHICAGO BOARD OF TRADE,264.75,0.049545742657933656,-469,-6.842503513133716,377,5.7291103664468706,0.06778027626084163,0.13240069947539346,-0.061170212765957466,0.031161473087818692,,-0.02421974537667044
2015-04-07,8908,1927,1136,4034,4907,004603,OATS - CHICAGO BOARD OF TRADE,273.0,0.09800179613830265,-873,-4.267906190576801,791,4.373547432917811,0.045185102337546135,0.30688867123734903,0.031161473087818692,-0.03388278388278387,,-0.012804173490615635
2015-04-14,8859,1871,1155,4293,4855,004603,OATS - CHICAGO BOARD OF TRADE,263.75,0.06343831132181962,-562,3.491243825774585,716,-0.8419398293668612,0.0339965019676432,0.02478519497686715,-0.03388278388278387,-0.01611374407582944,,-0.005842312535012669
2015-04-21,9092,1779,1178,4878,5373,004603,OATS - CHICAGO BOARD OF TRADE,259.5,0.05444346678398592,-495,0.7562930353313015,601,-1.2981149113895474,0.1075992586089162,0.038890767669935745,-0.01611374407582944,-0.09248554913294793,,-0.020204051103308092
2015-04-28,7434,686,1069,4635,3960,004603,OATS - CHICAGO BOARD OF TRADE,235.5,-0.09079903147699758,675,12.868455785305763,-383,-10.822701275846898,0.19267015706806281,0.6849002849002849,-0.09248554913294793,-0.035031847133757954,,-0.028224748018677786
2015-05-05,7842,1201,1116,4566,4372,004603,OATS - CHICAGO BOARD OF TRADE,227.25,-0.024738587095128793,194,-6.470271724509012,85,6.2953995157385,0.053815171179234726,0.24255502805351747,-0.035031847133757954,0.05610561056105601,,-0.0453933450066403
2015-05-12,7893,1161,1233,5075,4567,004603,OATS - CHICAGO BOARD OF TRADE,240.0,-0.06436082604839731,508,4.004080591685795,-72,-2.0020402958428973,0.07301389753163244,0.06558061821219716,0.05610561056105601,0.03333333333333344,,-0.02212433045867283
2015-05-19,8625,1664,1150,5325,5620,004603,OATS - CHICAGO BOARD OF TRADE,248.0,0.034202898550724635,-295,-10.17357151906753,514,7.424300012669454,0.11904979442667885,0.2082444918265814,0.03333333333333344,-0.03830645161290325,,-0.009565214244099968
2015-05-26,8894,1722,1216,5561,5770,004603,OATS - CHICAGO BOARD OF TRADE,238.5,0.023498988081852936,-209,0.9971014492753623,506,-0.0927536231884058,0.03406583708410555,0.04220558202859088,-0.03830645161290325,0.05974842767295607,,0.004017081998275701
2015-06-02,8771,1488,1197,5209,5415,004603,OATS - CHICAGO BOARD OF TRADE,252.75,0.023486489567894196,-206,0.033730604902181244,291,-2.417360017989656,0.06654743975903614,0.09422718808193668,0.05974842767295607,0.016815034619188873,,0.02734298017696502
2015-06-09,8847,1401,1135,5579,5838,004603,OATS - CHICAGO BOARD OF TRADE,257.0,0.029275460608115745,-259,-0.6042640519895109,266,-0.28503021320259947,0.06945782604887449,0.05875394321766562,0.016815034619188873,-0.017509727626459193,,0.017739309927165433
2015-06-16,8743,1358,1091,5313,5601,004603,OATS - CHICAGO BOARD OF TRADE,252.5,0.03294063822486561,-288,-0.3277947326777439,267,0.011303266644060134,0.046087593916071104,0.035524703960800326,-0.017509727626459193,0.006930693069306937,,0.0051734155420532545
2015-06-23,8654,1269,1294,5530,5542,004603,OATS - CHICAGO BOARD OF TRADE,254.25,0.0013866420152530623,-12,3.1568111632162874,-25,-3.339814708909985,0.024927745664739886,0.11392898946547016,0.006930693069306937,-0.003933136676499527,,0.016361524205588573
2015-06-30,7213,753,1540,4673,4005,004603,OATS - CHICAGO BOARD OF TRADE,253.25,-0.09261056425897685,668,7.857638086434019,-787,-8.805176796856944,0.2758700161327495,0.332315743567379,-0.003933136676499527,-0.007897334649555776,0.02348625089387276,0.0005755501855958058
2015-07-07,7443,1062,1631,4720,4149,004603,OATS - CHICAGO BOARD OF TRADE,251.25,-0.07671637780464867,571,-1.344794121724664,-569,3.022320809649244,0.02153568609764348,0.14853323431117713,-0.007897334649555776,-0.042786069651741254,0.01977504242355715,-0.0056181286424755745
2015-07-14,7745,1029,1883,4908,4049,004603,OATS - CHICAGO BOARD OF TRADE,240.5,-0.11091026468689477,859,3.869407496977025,-854,-3.829101168883515,0.03215362286479848,0.09787087912087912,-0.042786069651741254,-0.0020790020790020236,0.015107710026755298,-0.011993092467595492
2015-07-21,8240,1018,2194,5299,3948,004603,OATS - CHICAGO BOARD OF TRADE,240.0,-0.16395631067961164,1351,6.3524854744996775,-1176,-4.157520981278244,0.05320644533362172,0.10024906600249066,-0.0020790020790020236,-0.039583333333333304,0.008933088623087471,-0.014275294662251222
2015-07-28,8503,1057,2350,5520,3988,004603,OATS - CHICAGO BOARD OF TRADE,230.5,-0.18017170410443373,1532,2.1966019417475726,-1293,-1.4199029126213591,0.027450567942785022,0.057235104197240975,-0.039583333333333304,0.022776572668112838,0.002629595532170098,-0.023357100585281766
2015-08-04,8028,1122,2596,5095,3490,004603,OATS - CHICAGO BOARD OF TRADE,235.75,-0.19992526158445442,1605,0.8585205221686463,-1474,-2.1286604727743152,0.10751310425160163,0.08364712210866057,0.022776572668112838,-0.038176033934252396,-0.0039044321167532735,-0.015538050803640763
2015-08-11,8618,1210,2684,5365,3842,004603,OATS - CHICAGO BOARD OF TRADE,226.75,-0.1767231376189371,1523,-1.0214250124564026,-1474,0.0,0.06755729336374498,0.04519774011299435,-0.038176033934252396,-0.007717750826901848,-0.009305016663696517,-0.014368178849998805
2015-08-18,8808,1286,2765,5388,3834,004603,OATS - CHICAGO BOARD OF TRADE,225.0,-0.17643051771117166,1554,0.3597122302158274,-1479,-0.058018101647714086,0.0033615267837779224,0.03875586274993829,-0.007717750826901848,-0.054444444444444406,-0.01436942578634728,-0.015799290437003975
2015-08-25,7940,1123,2631,4537,3009,004603,OATS - CHICAGO BOARD OF TRADE,212.75,-0.1924433249370277,1528,-0.29518619436875565,-1508,-0.3292461398728429,0.22210442618605883,0.07911561001598295,-0.054444444444444406,0.05287896592244423,-0.019606893408426113,-0.01958087430225131
2015-09-01,8454,1303,2620,4667,3328,004603,OATS - CHICAGO BOARD OF TRADE,224.0,-0.1583865625739295,1339,-2.380352644836272,-1317,2.4055415617128464,0.05616010006253909,0.04868722916135611,0.05287896592244423,0.04241071428571419,-0.023572026813154786,-0.011935764501785982
2015-09-08,8883,1436,2729,4755,3488,004603,OATS - CHICAGO BOARD OF TRADE,233.5,-0.1426319936958235,1267,-0.8516678495386799,-1293,0.28388928317955997,0.030086133689190827,0.05810324129651861,0.04241071428571419,0.009635974304068595,-0.026879248115451136,0.00824776471974772
2015-09-15,9140,1957,2627,4429,3904,004603,OATS - CHICAGO BOARD OF TRADE,235.75,-0.057439824945295405,525,-8.353033884948777,-670,7.0133963750985036,0.0890435617424697,0.13590750436300175,0.009635974304068595,-0.03923647932131491,-0.02770520965139287,0.012541330241027751
2015-09-22,8995,2118,2563,4302,3820,004603,OATS - CHICAGO BOARD OF TRADE,226.5,-0.05358532518065592,482,-0.4704595185995623,-445,2.461706783369803,0.02597882295001231,0.04806665242469558,-0.03923647932131491,0.0,-0.028386265323215584,0.016288906302158762
2015-09-29,8919,2217,2571,4173,3834,004603,OATS - CHICAGO BOARD OF TRADE,226.5,-0.03800874537504204,339,-1.5897720956086714,-354,1.0116731517509727,0.01785937304858249,0.02234753550543024,0.0,-0.0331125827814569,-0.028632995580954727,0.003197435069037231
2015-10-06,9866,3128,2967,4240,4545,004603,OATS - CHICAGO BOARD OF TRADE,219.0,0.0309142509629029,-305,-7.220540419329521,161,5.774189931606682,0.08856004553215709,0.21443806398687448,-0.0331125827814569,0.05936073059360725,-0.027144314417358283,-0.015802475968724403
2015-10-13,10066,3280,2997,4608,5090,004603,OATS - CHICAGO BOARD OF TRADE,232.0,0.047883965825551364,-482,-1.794040137847152,283,1.236570038516116,0.09414312229325635,0.028994742711486377,0.05936073059360725,-0.03125,-0.025314356362653168,-0.003252366090684998
2015-10-20,10362,3333,2971,4758,5315,004603,OATS - CHICAGO BOARD OF TRADE,224.75,0.05375410152480216,-557,-0.7450824557917743,362,0.7848201867673356,0.03722823389258414,0.012531725888324872,-0.03125,0.011123470522803158,-0.02343177403199947,-0.0012512455282556367
2015-10-27,10652,3287,3020,4886,5468,004603,OATS - CHICAGO BOARD OF TRADE,227.25,0.05463762673676305,-582,-0.24126616483304383,267,-0.9168114263655665,0.02713926984740197,0.015062628825114952,0.011123470522803158,-0.00990099009900991,-0.02161620657226081,0.0015292347080799716
2015-11-03,11301,3370,3132,5131,5782,004603,OATS - CHICAGO BOARD OF TRADE,225.0,0.057605521635253516,-651,-0.6477656778069847,238,-0.27224934284641383,0.05122331164665995,0.029990772070132267,-0.00990099009900991,0.006666666666666599,-0.019815712749362755,0.007306544826067789
2015-11-10,12009,3500,3196,5442,6025,004603,OATS - CHICAGO BOARD OF TRADE,226.5,0.0485469231409776,-583,0.6017166622422795,304,0.5840191133528007,0.048312549053806574,0.02897252090800478,0.006666666666666599,0.04966887417218535,-0.018296543062910748,-0.005857333964368843
2015-11-17,10916,3287,2925,4987,5896,004603,OATS - CHICAGO BOARD OF TRADE,237.75,0.0832722609014291,-909,-2.714630693646432,362,0.48297110500457985,0.05366167417072498,0.07791371538956858,0.04966887417218535,0.04942166140904303,-0.0160885255854251,0.014286958941137384
2015-11-24,9140,3055,2739,3441,4469,004603,OATS - CHICAGO BOARD OF TRADE,249.5,0.112472647702407,-1028,-1.0901429094906558,316,-0.4213997801392451,0.3758533501896334,0.072143596824301,0.04942166140904303,0.03206412825651306,-0.013353181472918033,0.023681421545301496
2015-12-01,8706,2894,2249,3242,4593,004603,OATS - CHICAGO BOARD OF TRADE,257.5,0.15518033540087295,-1351,-3.533916849015317,645,3.599562363238512,0.041225271218889595,0.12657981722729925,0.03206412825651306,0.03300970873786402,-0.009842066538047388,0.033875039529469554
2015-12-08,8293,2706,1400,2842,4974,004603,OATS - CHICAGO BOARD OF TRADE,266.0,0.25708428795369587,-2132,-8.970824718584884,1306,7.59246496668964,0.09992323439099283,0.25255723331709695,0.03300970873786402,-0.14379699248120303,-0.004394589915766914,0.04022126353566883
2015-12-15,8504,2645,1250,2921,5184,004603,OATS - CHICAGO BOARD OF TRADE,227.75,0.26611006585136404,-2263,-1.5796454841432532,1395,1.0731942602194622,0.03565700185070944,0.05417201540436457,-0.14379699248120303,-0.01207464324917673,0.0010155031995757059,-0.00735233582136187
2015-12-22,9103,3077,1466,2978,5399,004603,OATS - CHICAGO BOARD OF TRADE,225.0,0.2659562781500604,-2421,-1.8579492003762934,1611,2.539981185324553,0.032469857944371495,0.1426370239929562,-0.01207464324917673,-0.020000000000000018,0.006210420355467563,-0.02296104853917413
2015-12-29,9214,3077,1617,2989,5229,004603,OATS - CHICAGO BOARD OF TRADE,220.5,0.24310831343607553,-2240,1.9883554872020215,1460,-1.6587938042403605,0.02202482355804332,0.03216872603323392,-0.020000000000000018,-0.046485260770975034,0.010766149068556176,-0.03636888450303698
2016-01-05,9148,3062,1985,2851,4617,004603,OATS - CHICAGO BOARD OF TRADE,210.25,0.19304766069086138,-1766,5.14434556110267,1077,-4.156718037768613,0.10042849491162292,0.07588666534574995,-0.046485260770975034,-0.022592152199762183,0.009896651304312944,-0.05719406354928002
2016-01-12,9484,3157,2586,2920,4195,004603,OATS - CHICAGO BOARD OF TRADE,205.5,0.1344369464361029,-1275,5.367293397463927,571,-5.531263664188893,0.06900913562895292,0.1211910151488769,-0.022592152199762183,0.009732360097323589,0.009438656406152122,-0.025613250653924863
2016-01-19,9694,3210,2792,3172,4105,004603,OATS - CHICAGO BOARD OF TRADE,207.5,0.09624510006189395,-933,3.6060733867566426,418,-1.613243357233235,0.04699738903394256,0.043152282572475845,0.009732360097323589,-0.028915662650602414,0.009906157822193494,-0.02003564292493329
2016-01-26,9377,3157,2781,3127,4143,004603,OATS - CHICAGO BOARD OF TRADE,201.5,0.10835021862002772,-1016,-0.8561997111615433,376,-0.4332576851660821,0.01141678129298487,0.010778039744021556,-0.028915662650602414,-0.006203473945409432,0.009977856172895462,-0.02231225624080248
2016-02-02,10048,3174,3142,3570,4309,004603,OATS - CHICAGO BOARD OF TRADE,200.25,0.07354697452229299,-739,2.95403647221926,32,-3.6685507091820413,0.07729407285188476,0.05984800506649778,-0.006203473945409432,-0.022471910112359605,0.010149265262577513,-0.012067249441410957
2016-02-09,10419,3435,3381,3626,4130,004603,OATS - CHICAGO BOARD OF TRADE,195.75,0.0483731644111719,-504,2.338773885350318,54,0.21894904458598727,0.03029912325941207,0.0733568075117371,-0.022471910112359605,0.017879948914431676,0.01059225619450853,-0.012036824437075358
2016-02-16,10639,3498,3615,3847,4129,004603,OATS - CHICAGO BOARD OF TRADE,199.25,0.026506250587461228,-282,2.130722718111143,-117,-1.6412323639504751,0.027833500501504512,0.04175453395191902,0.017879948914431676,-0.08281053952321205,0.01088012960595567,-0.00997738341205502
2016-02-23,10348,3152,3328,3593,4352,004603,OATS - CHICAGO BOARD OF TRADE,182.75,0.07334750676459219,-759,-4.483504088730144,-176,-0.5545633988156782,0.06003775959723096,0.09768518518518518,-0.08281053952321205,-0.09575923392612862,0.013736766415829695,-0.02367965681165233
2016-03-01,10539,3448,3663,3489,3922,004603,OATS - CHICAGO BOARD OF TRADE,165.25,0.04108549198216149,-433,3.1503672207189797,-215,-0.37688442211055273,0.07205505329914991,0.08873576149627338,-0.09575923392612862,0.07110438729198187,0.015494160106847343,-0.046871960444010624
2016-03-08,11028,3576,3904,3586,3940,004603,OATS - CHICAGO BOARD OF TRADE,177.0,0.032100108813928184,-354,0.7495967359332005,-328,-1.0722079893728058,0.015280361413765613,0.04933155080213904,0.07110438729198187,0.10734463276836159,0.016455721746387444,-0.02265096646242376
2016-03-15,11120,3543,4193,3854,3691,004603,OATS - CHICAGO BOARD OF TRADE,196.0,-0.014658273381294964,163,4.688066739209285,-650,-2.919840406238665,0.06852220013253811,0.041623578076525336,0.10734463276836159,-0.029336734693877542,0.016953115186447945,-3.018880292665256e-05
2016-03-22,10535,3651,4132,3004,3097,004603,OATS - CHICAGO BOARD OF TRADE,190.25,0.008827717133364974,-93,-2.302158273381295,-481,1.5197841726618704,0.23668251106376004,0.021713992033920083,-0.029336734693877542,-0.0026281208935611255,0.017463798462270017,0.013250091402745207
2016-03-29,10557,3495,4173,3201,3149,004603,OATS - CHICAGO BOARD OF TRADE,189.75,-0.0049256417542862556,52,1.3763644992880872,-678,-1.8699572852396773,0.03921259842519685,0.025691184141888368,-0.0026281208935611255,-0.02898550724637683,0.016416271838958097,0.03596642477142456
2016-04-05,11130,3635,4325,3445,3338,004603,OATS - CHICAGO BOARD OF TRADE,184.25,-0.009613656783468105,107,0.5209813393956616,-690,-0.11366865586814436,0.0638360607400855,0.036683417085427134,-0.02898550724637683,0.01763907734056991,0.014346743898154811,0.011531819722947681
2016-04-12,10908,3718,4354,3328,3300,004603,OATS - CHICAGO BOARD OF TRADE,187.5,-0.002566923359002567,28,-0.7097933513027853,-636,0.48517520215633425,0.023385636692818346,0.013875123885034688,0.01763907734056991,0.04400000000000004,0.013077412461985155,-0.010886868855052348
2016-04-19,10871,3803,4403,3353,3402,004603,OATS - CHICAGO BOARD OF TRADE,195.75,0.004507405022537025,-49,-0.7059039237257059,-600,0.33003300330033003,0.018800888230940043,0.016329514989032415,0.04400000000000004,0.0,0.01211710358195729,0.00747832975688405
2016-04-26,9231,3046,3239,3138,3700,004603,OATS - CHICAGO BOARD OF TRADE,195.75,0.06088181128805113,-562,-4.718977095023457,-193,3.743905804433815,0.07502193623866628,0.305648369132856,0.0,-0.04597701149425293,0.015034042865900534,0.00813025227056744
2016-05-03,9219,3075,2962,3184,3903,004603,OATS - CHICAGO BOARD OF TRADE,186.75,0.07799110532595727,-719,-1.7007908135629943,113,3.314917127071823,0.03513475377451672,0.05068742753023025,-0.04597701149425293,-0.029451137884872858,0.017009613873998346,0.003907870778365829
2016-05-10,9898,3118,3767,3374,3710,004603,OATS - CHICAGO BOARD OF TRADE,181.25,0.033946251768033946,-336,4.154463607766569,-649,-8.265538561666125,0.05406549971767363,0.12316630355846042,-0.029451137884872858,0.08413793103448275,0.018900134601237406,-0.007888066501059452
2016-05-17,10238,3105,3939,3437,3876,004603,OATS - CHICAGO BOARD OF TRADE,196.5,0.04287946864621996,-439,-1.0406142655081834,-834,-1.8690644574661546,0.031314098181320936,0.026263486655309483,0.08413793103448275,-0.039440203562341014,0.01906699171845847,0.002175078215248453
2016-05-24,10231,3093,3892,2947,3543,004603,OATS - CHICAGO BOARD OF TRADE,188.75,0.05825432509041149,-596,-1.5335026372338347,-799,0.34186364524321156,0.1268104776579353,0.008446671438797423,-0.039440203562341014,0.0013245033112583293,0.019735363584007674,-0.007712268715174031
2016-05-31,10529,3068,3882,2950,3575,004603,OATS - CHICAGO BOARD OF TRADE,189.0,0.059359863234875104,-625,-0.28345225295670023,-814,-0.1466132342879484,0.0053639846743295016,0.005035971223021582,0.0013245033112583293,0.039682539682539764,0.020425236154526537,0.004134215566452953
2016-06-07,10989,2940,3964,2772,3549,004603,OATS - CHICAGO BOARD OF TRADE,196.5,0.0707070707070707,-777,-1.4436318738721625,-1024,-1.9944914046918036,0.0322733744660655,0.030417149478563152,0.039682539682539764,0.05089058524173029,0.021221997887198748,0.02119987874095324
2016-06-14,9881,2746,3404,2829,3907,004603,OATS - CHICAGO BOARD OF TRADE,206.5,0.10909826940593058,-1078,-2.739102739102739,-658,3.330603330603331,0.06160926365795724,0.12260162601626017,0.05089058524173029,0.0,0.022686567717603842,0.013029107511391207
2016-06-21,9964,2809,2799,3026,4347,004603,OATS - CHICAGO BOARD OF TRADE,206.5,0.13257727820152548,-1321,-2.4592652565529804,10,6.760449347232061,0.08639631086396311,0.11911554921540657,0.0,-0.002421307506053294,0.025209464567339853,0.022714469118796057
2016-06-28,10190,2348,3130,3444,4013,004603,OATS - CHICAGO BOARD OF TRADE,206.0,0.055839057899901866,-569,7.547169811320755,-782,-7.948615014050582,0.10084484377095347,0.14457831325301204,-0.002421307506053294,0.04854368932038833,0.028064264993472136,0.02179862842516223
2016-07-05,10226,2388,3152,3532,3834,004603,OATS - CHICAGO BOARD OF TRADE,216.0,0.029532564052415413,-302,2.620215897939156,-764,0.17664376840039253,0.03624762421938637,0.011191335740072202,0.04854368932038833,0.09490740740740744,0.030107513875338755,0.023963802452298733
2016-07-12,9948,2612,3157,3377,4001,004603,OATS - CHICAGO BOARD OF TRADE,236.5,0.06272617611580217,-624,-3.1488362996283983,-545,2.1415998435360843,0.04364326375711575,0.03969492113017854,0.09490740740740744,-0.13636363636363635,0.03344667619846754,0.0346501371442388
2016-07-19,9853,2815,3169,3287,4063,004603,OATS - CHICAGO BOARD OF TRADE,204.25,0.0787577387597686,-776,-1.527945315641335,-354,1.9199839163650985,0.020680272108843538,0.035929144385026736,-0.13636363636363635,-0.019583843329253336,0.038114254072301776,0.001165858337507176
2016-07-26,9937,3076,3125,3300,4164,004603,OATS - CHICAGO BOARD OF TRADE,200.25,0.08694777095702928,-864,-0.8931289962447986,-49,3.0955039074393587,0.01527331189710611,0.049185615223351076,-0.019583843329253336,-0.02372034956304614,0.043251167054252984,-0.003128985915945695
2016-08-02,9759,3014,3369,3722,4393,004603,OATS - CHICAGO BOARD OF TRADE,195.5,0.0687570447791782,-671,1.9422360873503068,-355,-3.079400221394787,0.08022181146025878,0.047939840200532664,-0.02372034956304614,-0.1035805626598465,0.04841813448432285,-0.021417838619324284
2016-08-09,10178,2972,3930,3764,4137,004603,OATS - CHICAGO BOARD OF TRADE,175.25,0.036647671448221654,-373,3.053591556511938,-958,-6.17891177374731,0.03771674471585875,0.08736598087510866,-0.1035805626598465,-0.015691868758915817,0.0525214192740759,-0.07344429794996261
2016-08-16,10492,3217,4298,3863,4047,004603,OATS - CHICAGO BOARD OF TRADE,172.5,0.017537171178040413,-184,1.8569463548830811,-1081,-1.2084888976223225,0.023893805309734513,0.08157019294743846,-0.015691868758915817,-0.005797101449275366,0.05625156713732997,-0.04149321565310549
2016-08-23,10850,3299,4386,4031,4105,004603,OATS - CHICAGO BOARD OF TRADE,171.5,0.0068202764976958525,-74,1.0484178421654593,-1087,-0.0571864277544796,0.027777777777777776,0.022121014964216004,-0.005797101449275366,-0.0568513119533528,0.060083559472613124,-0.03790694595553571
2016-08-30,11033,3640,4468,4191,4294,004603,OATS - CHICAGO BOARD OF TRADE,161.75,0.009335629475210732,-103,-0.2672811059907834,-828,2.3870967741935485,0.04113140836770772,0.05217069560927479,-0.0568513119533528,-0.020092735703245768,0.0633089862427889,-0.04654690392579151
2016-09-06,10784,3544,4707,3868,3784,004603,OATS - CHICAGO BOARD OF TRADE,158.5,-0.007789317507418398,84,1.694915254237288,-1163,-3.036345508927762,0.1088604286461056,0.040601139255847775,-0.020092735703245768,0.03312302839116721,0.06590211463102745,-0.024916098389314748
2016-09-13,10901,3511,4803,4026,3915,004603,OATS - CHICAGO BOARD OF TRADE,163.75,-0.010182552059444088,111,0.25037091988130566,-1292,-1.1962166172106825,0.03639340133484448,0.015515997113302862,0.03312302839116721,0.06870229007633588,0.06681090834037075,-0.012482108579831567
2016-09-20,10714,3373,4779,3895,3835,004603,OATS - CHICAGO BOARD OF TRADE,175.0,-0.005600149337315662,60,-0.4678469865149987,-1406,-1.0457756169158794,0.027296248382923674,0.01987242394504416,0.06870229007633588,-0.0028571428571428914,0.06773370018351191,0.006201051380384538
2016-09-27,10738,3364,4614,3929,3984,004603,OATS - CHICAGO BOARD OF TRADE,174.5,0.005121996647420376,-55,-1.0733619563188352,-1250,1.4560388277020722,0.023126500695058765,0.021809977437954375,-0.0028571428571428914,0.0386819484240688,0.06856313753009773,0.019526961830199786
2016-10-04,10302,3082,4444,3605,3893,004603,OATS - CHICAGO BOARD OF TRADE,181.25,0.027955736750145604,-288,-2.1698640342708138,-1362,-1.0430247718383312,0.05534809282475327,0.06005846399149615,0.0386819484240688,0.09793103448275864,0.06850624302600625,0.03383366267959589
2016-10-11,9324,2759,3055,3431,4231,004603,OATS - CHICAGO BOARD OF TRADE,199.0,0.0858000858000858,-800,-4.96990875558144,-296,10.347505338769171,0.06682328373792744,0.29446164430684557,0.09793103448275864,0.023869346733668362,0.06923539917936267,0.04937526204390593
2016-10-18,8712,2549,2350,3152,4598,004603,OATS - CHICAGO BOARD OF TRADE,203.75,0.1659779614325069,-1446,-6.928356928356928,199,5.308880308880308,0.08335483870967741,0.18677281077770974,0.023869346733668362,0.04049079754601226,0.07139355033143392,0.03864968158408968
2016-10-25,8868,2619,1899,3357,5000,004603,OATS - CHICAGO BOARD OF TRADE,212.0,0.18527289129454216,-1643,-2.261248852157943,720,5.980257116620753,0.07263372023453392,0.11531651173085436,0.04049079754601226,0.03537735849056611,0.07390576695754505,0.04902183428100779
2016-11-01,8563,2270,1477,3514,5468,004603,OATS - CHICAGO BOARD OF TRADE,219.5,0.22819105453696134,-1954,-3.506991429860171,793,0.8231844835363104,0.06958361166778,0.20576461168935148,0.03537735849056611,0.028473804100227706,0.07718625797488558,0.048234899860878935
2016-11-08,8400,2299,1291,3551,5623,004603,OATS - CHICAGO BOARD OF TRADE,225.75,0.24666666666666667,-2072,-1.3780217213593366,1008,2.5108022889174357,0.020928711576193592,0.05988857938718663,0.028473804100227706,0.032115171650055396,0.0809962530426873,0.031549854429138165
2016-11-15,8449,1964,1446,3943,5596,004603,OATS - CHICAGO BOARD OF TRADE,233.0,0.19564445496508462,-1653,4.988095238095238,518,-5.833333333333333,0.04392493972114477,0.1436950146627566,0.032115171650055396,-0.04935622317596566,0.08315725677468068,0.03354529507232443
2016-11-22,8707,1687,1391,4364,5822,004603,OATS - CHICAGO BOARD OF TRADE,221.5,0.16745147582404962,-1458,2.3079654396970057,296,-2.627529885193514,0.06351855487924603,0.1078622482131254,-0.04935622317596566,-0.10383747178329572,0.08421454193086611,0.011585159896813298
2016-11-29,7684,1986,1515,3137,4692,004603,OATS - CHICAGO BOARD OF TRADE,198.5,0.2023685580426861,-1555,-1.1140461697484783,471,2.009877110370966,0.3010601609400945,0.12082262210796915,-0.10383747178329572,0.055415617128463435,0.08512200775090097,-0.023423377707155243
