,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,LE_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-08-11,229259,71597,57985,89953,99875,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,150.1750030517578,0.0432785626736573,-9922,-2.301312205991582,13612,1.8692745729140876,0.06725562087784731,0.05959160994582581,0.013155654362937641,-0.019810261648473437,0.16167918509912751,0.0051776292933349444
2015-08-18,228832,71618,57560,89193,97336,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,147.1999969482422,0.03558505803384142,-8143,0.7759782603954479,14058,0.1945397999642326,0.01768625790091621,0.0034526002879747327,-0.019810261648473437,-0.023946969901934345,0.157858150945634,0.003629788753276426
2015-08-25,241162,71828,62008,96507,97006,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,143.6750030517578,0.002069148539156252,-499,3.3404418962382887,9820,-1.8520137043770102,0.03950122214011462,0.03480378971278281,-0.023946969901934345,-0.016356401973898316,0.15327612146309053,-0.002180513797439078
2015-09-01,246990,71332,67927,100246,95597,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,141.3249969482422,-0.018822624397748896,4649,2.1346646652457686,3405,-2.6600376510395503,0.0262863620348953,0.04606524533423333,-0.016356401973898316,0.01521322626358046,0.1483590144384951,-0.011808946748349978
2015-09-08,253003,68430,71582,102645,92832,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,143.47500610351562,-0.03878610135057687,9813,2.090772905785659,-3152,-2.654763350742945,0.026417430183602163,0.046831700139988004,0.01521322626358046,-0.02003833335212213,0.14316053899990977,-0.011288578740893096
2015-09-15,259861,71504,76870,106204,91165,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,140.60000610351562,-0.05787324762084345,15039,2.0655881550811652,-5366,-0.8750884376865097,0.0264783223302545,0.05635758286492243,-0.02003833335212213,-0.03111664160795935,0.1377271934155651,-0.011346245627517933
2015-09-22,267058,71358,83749,112188,88841,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,136.22500610351562,-0.08742295681088004,23347,3.197093830932691,-12391,-2.70336833922751,0.0413273706778624,0.045291315027690564,-0.03111664160795935,-0.05175263524231821,0.1318021894622376,-0.01316076182045104
2015-09-29,261329,70438,81880,115441,92474,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,129.1750030517578,-0.08788538585461239,22967,-0.14229118768207655,-11442,0.35535351871129117,0.03311930356155159,0.018310376974487584,-0.05175263524231821,-0.031352838831635754,0.1261691747105235,-0.022167489283714367
2015-10-06,259893,68050,78133,120076,101128,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,125.125,-0.07290692708152971,18948,-1.5379081540892898,-10083,0.5200341332190457,0.06007576716515072,0.04196794428900762,-0.031352838831635754,0.058341682731331224,0.12119227216572218,-0.03414135172732137
2015-10-13,260412,64665,85219,122839,92231,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,132.4250030517578,-0.11753682625992658,30608,4.486461736176041,-20554,-4.028965766680903,0.054214906774538524,0.06986069226868778,0.058341682731331224,0.05909002656532936,0.11536961122851122,-0.01406860865002755
2015-10-20,254409,60933,80788,121253,89562,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,140.25,-0.12456713402434662,31691,0.41587945255978986,-19855,0.268420810100917,0.020183573275146454,0.05759908552719781,0.05909002656532936,-0.025490174319017345,0.10965683157963364,0.008544946541001016
2015-10-27,256978,62392,74895,119973,93260,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,136.6750030517578,-0.10395053273042829,26713,-1.9566917837026205,-12503,2.889834872193987,0.023345354612090998,0.05355204789965547,-0.025490174319017345,0.02597404772263623,0.10468921845614385,0.01503360103314516
2015-11-03,266672,63984,75210,119220,95652,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,140.22500610351562,-0.0883782324353513,23568,-1.223840173088747,-11226,0.4969296982621081,0.014636620871960982,0.013700303173987384,0.02597404772263623,-0.0848636736481132,0.10030132184497349,0.02905274768847722
2015-11-10,267425,68610,79855,121154,98895,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,128.3249969482422,-0.08323455174347948,22259,-0.49086518269634605,-11245,-0.007124857502849943,0.0235265781712255,0.06244569427137709,-0.0848636736481132,-0.0023378379808480787,0.0962227468763412,-0.006342514709643132
2015-11-17,272654,68445,80086,126136,101524,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,128.02499389648438,-0.09026825207038958,24612,0.8798728615499672,-11641,-0.14807890062634382,0.03343143283844329,0.002666110104961254,-0.0023378379808480787,0.017379466585365932,0.09216859472532532,-0.021917860573049976
2015-11-24,278849,71700,82711,126140,102555,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,130.25,-0.08457982635763442,23585,-0.3766678647663339,-11011,0.23106207867847162,0.00452567830516627,0.03808018858760062,0.017379466585365932,0.01420350175443863,0.08840799002143256,-0.011022524771231963
2015-12-01,274364,71090,85096,124133,97787,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,132.10000610351562,-0.09602571765975128,26346,0.990141617864866,-14006,-1.074058002718317,0.030529019466474405,0.019175854429974517,0.01420350175443863,-0.07456476645275101,0.0845656211114079,-0.014002210823435937
2015-12-08,251061,69012,80635,117573,92077,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,122.25,-0.10155300902967805,25496,-0.3098074091353093,-11623,0.8685541834934613,0.05852611495349392,0.043696164974907616,-0.07456476645275101,-0.015950895282144772,0.08076728172077349,-0.011394581394761924
2015-12-15,248936,69351,78141,114907,93581,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,120.3000030517578,-0.08566860558537134,21326,-1.6609509242773668,-8790,1.1284110236157745,0.020001151145389664,0.01920782144116291,-0.015950895282144772,0.04405648618382019,0.0774385639746506,-0.014842784492873897
2015-12-22,250860,65121,74030,119846,96713,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,125.5999984741211,-0.09221478115283425,23133,0.7258893852235113,-8909,-0.047803451489539475,0.03726928920063355,0.059942077311697366,0.04405648618382019,0.0366241921178756,0.0741120277956803,-0.00809660769374189
2015-12-29,262818,61554,73435,131539,103020,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,130.1999969482422,-0.10851235455714602,28519,2.147014270908076,-11881,-1.1847245475564059,0.07673975417698746,0.030832141878227116,0.0366241921178756,0.050499209695495706,0.07060002044274133,-0.002461773537778948
2016-01-05,265072,62490,69436,131734,106676,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,136.77499389648438,-0.09453280618096216,25058,-1.3168808833489336,-6946,1.8777252699586786,0.0161528459376704,0.03740733441474766,0.050499209695495706,-0.03783577425626017,0.06524050438391038,0.02840011975124606
2016-01-12,274995,65092,66775,131835,112686,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,131.60000610351562,-0.06963399334533354,19149,-2.229205649785719,-1683,1.985498279712682,0.02499171850270529,0.039911425906405694,-0.03783577425626017,-0.01747722602648394,0.0602932767581216,0.023067906577592726
2016-01-19,275924,65048,66765,131525,111763,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,129.3000030517578,-0.07162117104709993,19762,0.22291314387534317,-1717,-0.01236386116111202,0.005068067475584493,0.00040967127673294744,-0.01747722602648394,0.028808899897979634,0.05562430138322553,0.007921145113636846
2016-01-26,277264,64786,68512,130867,112999,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,133.02499389648438,-0.0644439956142882,17868,-0.6864208985082849,-3726,-0.7280990417651237,0.007766560324112422,0.015071493945895662,0.028808899897979634,0.020297029362258856,0.05143759463954029,0.005980856296771946
2016-02-02,276556,68636,75009,129877,109105,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,135.72500610351562,-0.07510956189704797,20772,1.0473772289226153,-6373,-0.9546857868313232,0.020436685608121112,0.07203174492672909,0.020297029362258856,-0.031865993829704564,0.04758719800529261,-0.00155297299420502
2016-02-09,268120,70276,68459,124536,110843,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,131.39999389648438,-0.051070416231538115,13693,-2.559698578226471,1817,2.961425534069049,0.030074900479651966,0.05903340901719105,-0.031865993829704564,0.011796066390831639,0.044289628331023,-5.932440864549219e-05
2016-02-16,272135,69662,67946,124932,112493,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,132.9499969482422,-0.045708931228985616,12439,-0.46770102938982544,1716,-0.037669700134268236,0.008617458144677266,0.008189930817975699,0.011796066390831639,0.030086499374326614,0.04135058321585834,0.0072327807211181845
2016-02-23,270927,70549,64625,122001,115161,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,136.9499969482422,-0.02524665315749261,6840,-2.0574347290866664,5924,1.5462913627427564,0.02360833523077053,0.031130246940979774,0.030086499374326614,0.0010953571275371665,0.038777178879212865,0.0075498285103229755
2016-03-01,280951,78988,65094,122481,120445,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,137.10000610351562,-0.007246815280956466,2036,-1.7731713708858843,13894,2.9417518372107616,0.023727390234063048,0.06182590469316084,0.0010953571275371665,0.00018230412379049987,0.03666878254050017,0.0027741308042256527
2016-03-08,288597,82681,63751,120969,125285,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,137.125,0.014955110413483162,-4316,-2.2608924687934904,18930,1.7924833867827485,0.025794504860834747,0.034391389860139863,0.00018230412379049987,0.026253462924453075,0.034678874639728345,0.010732259477307009
2016-03-15,292575,88336,55670,117450,135602,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,140.72500610351562,0.062042211398786636,-18152,-4.794228630235241,32666,4.759578235393993,0.05467650917597964,0.09538491451745067,0.026253462924453075,-0.030556069392491447,0.033607448413532526,0.014301648034774218
2016-03-22,296499,92549,54525,115815,137921,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,136.4250030517578,0.07455674386760158,-22106,-1.3514483465778004,38024,1.8313253012048194,0.015583125768515307,0.036430640357915066,-0.030556069392491447,-0.01154478221008104,0.032122372587766714,-0.0007565223950955124
2016-03-29,293880,86708,58970,118096,133295,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,134.85000610351562,0.051718388457873965,-15199,2.329518817938678,27738,-3.469151666616076,0.027475128385662177,0.07060777879981878,-0.01154478221008104,-0.0309603475179151,0.029961848424495913,-0.003923959808907826
2016-04-05,283032,87192,63327,116636,127309,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,130.6750030517578,0.037709516945080415,-10673,1.540084388185654,23865,-1.3178848509595753,0.030523273688741314,0.03216205263122928,-0.0309603475179151,0.021809762985792513,0.02680510634806575,-0.01177094054718196
2016-04-12,288959,89342,67445,116723,127652,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,133.52499389648438,0.03782197474382179,-10929,-0.09044913649340004,21897,-0.6953277367930129,0.0017595907928388747,0.03997780428224279,0.021809762985792513,-0.04643323146712697,0.02343470476845531,-0.012895651679295581
2016-04-19,282850,90277,69375,111704,121806,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,127.3249969482422,0.03571504330917447,-10102,0.28619977228603366,20902,-0.3443395083731602,0.046529056571453044,0.017945280986144865,-0.04643323146712697,-0.004123258661437923,0.020338912336951946,-0.016924565435735266
2016-04-26,274631,90764,73169,106252,113420,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,126.8000030517578,0.026100476639563632,-7168,1.0372989216899415,17595,-1.169170938660067,0.0629939182053243,0.026114327194646594,-0.004123258661437923,-0.08221611041683075,0.016899813152705605,-0.015039294040794203
2016-05-03,277517,95782,80328,107626,114776,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,116.375,0.0257641874191491,-7150,0.006554249156140422,15454,-0.7795915246275913,0.012275069468799742,0.06914428482198626,-0.08221611041683075,0.05929109796673604,0.01317192640142272,-0.028132750208856937
2016-05-10,274142,91113,76378,109667,116506,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,123.2750015258789,0.02494692531607707,-6839,0.112065206816159,14735,-0.259083227333821,0.016673077688318234,0.051459481404971016,0.05929109796673604,0.00040556010338232973,0.009232973542731738,-0.01854120637973288
2016-05-17,268314,98969,65205,103013,124662,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,123.3249969482422,0.08068531645758328,-21649,-5.402309751880412,33764,6.94129319841542,0.0650488635115845,0.11590751276085129,0.00040556010338232973,-0.043178569471013506,0.006278819605761938,-0.0066829590602846345
2016-05-24,268683,95972,66556,105122,123114,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,118.0,0.06696367094308163,-17992,1.3629553433663544,29416,-1.62048942656738,0.016022888589004365,0.02675231344752904,-0.043178569471013506,0.0262711735095007,0.0032258080361571234,-0.01656088299522509
2016-05-31,259279,93958,64912,102811,121939,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,121.0999984741211,0.07377381122265976,-19128,-0.42280308020976387,29046,-0.1377087497162083,0.015510567296996663,0.023025114873796184,0.0262711735095007,0.0010322048024362651,0.00047153865818280977,0.010640504041871949
2016-06-07,250554,88198,61203,103717,118628,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,121.2249984741211,0.059512121139554744,-14911,1.6264333015786083,26995,-0.791039767971953,0.018966021273246533,0.06337976318766274,0.0010322048024362651,-0.017941806143454864,-0.002989383797345695,-0.003874905522833527
2016-06-14,247348,89622,63748,101328,116885,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,119.0500030517578,0.06289519219884535,-15557,-0.2578286517078155,25874,-0.4474085426694445,0.01893562711662458,0.02587859424920128,-0.017941806143454864,-0.033599327152146086,-0.006198463974510177,-0.008490189197913769
2016-06-21,244356,87189,69210,100149,110843,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,115.0500030517578,0.043764016435037405,-10694,1.9660559212122193,17979,-3.1918592428481327,0.03422404640934253,0.0504798624032123,-0.033599327152146086,0.017600989506914022,-0.00953928440888169,-0.0060778716446092396
2016-06-28,242236,85326,69935,100695,108663,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,117.0749969482422,0.03289354183523506,-7968,1.1155854572836352,15391,-1.0591104781548233,0.013020758700407914,0.01666870624303592,0.017600989506914022,-0.02925471289038306,-0.012834856179438477,-0.00826101314818425
2016-07-05,247585,88105,71628,100140,107264,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,113.6500015258789,0.028773956419007613,-7124,0.34842054855595367,16477,0.44832312290493564,0.009421226205859097,0.027996719525708525,-0.02925471289038306,-0.04179498404070314,-0.01582054727731163,-0.01592484407861471
2016-07-12,250841,89979,77890,100923,103913,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,108.9000015258789,0.011919901451517096,-2990,1.669729587818325,12089,-1.772320617161783,0.02018199925794294,0.04846636365261007,-0.04179498404070314,0.013774104490196448,-0.01833408808904396,-0.022002293606194306
2016-07-19,244571,90113,72476,98376,107371,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,110.4000015258789,0.036778685943959014,-8995,-2.3939467630889686,17637,2.2117596405691256,0.029186330784896013,0.03412284963927449,0.013774104490196448,0.031476435018948035,-0.019353992548374457,-0.009968168253082456
2016-07-26,251923,92451,71437,98016,109456,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,113.875,0.04541070088876363,-11440,-0.9997096957529715,21014,1.3807851298804847,0.011784722757769723,0.020605535487650102,0.031476435018948035,0.02063664960808853,-0.019446880626205816,-0.006470679118342345
2016-08-02,252242,96450,64595,95574,115515,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,116.2249984741211,0.07905503445104305,-19941,-3.3744437784561154,31855,4.3032990239080995,0.04027211271075234,0.0673165885311559,0.02063664960808853,0.00645300073001942,-0.018271386799282287,0.006004985201444571
2016-08-09,239760,94252,57741,91912,113992,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,116.9749984741211,0.0920920920920921,-22080,-0.8479951792326418,36511,1.8458464490449646,0.025181638044914134,0.05955537426065674,0.00645300073001942,-0.01260951907126906,-0.017332665079697,0.017923458314403812
2016-08-16,241313,94215,60354,91165,111366,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,115.5,0.08371285425982024,-20201,0.7837003670337004,33861,-1.105271938605272,0.016654240585391868,0.017144446816632054,-0.01260951907126906,-0.01948051948051943,-0.016407130536889716,0.011423642591717227
2016-08-23,246157,96229,63232,85793,109234,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,113.25,0.09522784239326934,-23441,-1.342654560674311,32997,-0.3580412161798162,0.038476723735687876,0.030678347683759665,-0.01948051948051943,-0.015452538631346546,-0.014615617193541385,-0.0012508790765461244
2016-08-30,255282,99376,79307,88731,101112,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,111.5,0.048499306649117446,-12381,4.49306743257352,20069,-5.251932709612158,0.05825866637168608,0.10757598652362005,-0.015452538631346546,-0.10291478452126546,-0.01332096467340934,-0.010325519281956888
2016-09-06,263449,103396,87930,93864,103277,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,100.0250015258789,0.03572987561159845,-9413,1.1626358301799578,15466,-1.8031040183013294,0.037019189311203654,0.06608092993111234,-0.10291478452126546,0.04648839245131953,-0.01188796511644443,-0.03834001512480833
2016-09-13,260424,105072,92113,93811,99753,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,104.6750030517578,0.022816637483488465,-5942,1.3175225565479465,12959,-0.9516073319693754,0.018479675972804862,0.02971321347972716,0.04648839245131953,0.0286601376884279,-0.01033623655674574,-0.0231047330477165
2016-09-20,261549,106055,91423,93686,100325,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,107.6750030517578,0.02538338896344471,-6639,-0.26764046324455504,14632,0.642413909624305,0.003592579802176165,0.008471829773443117,0.0286601376884279,-0.03575580213046248,-0.00816688375339334,-0.010863492894493277
